code,name,sector
000001,平安银行,J66货币金融服务
000002,万科A,K70房地产业
000006,深振业A,K70房地产业
000007,全新好,K70房地产业
000008,神州高铁,C37铁路、船舶、航空航天和其他运输设备制造业
000009,上证380,J69其他金融业
000010,*ST美丽,E48土木工程建筑业
000011,深物业A,K70房地产业
000012,南玻A,C30非金属矿物制品业
000014,沙河股份,K70房地产业
000016,*ST康佳A,C39计算机、通信和其他电子设备制造业
000017,新上证综指,C24文教、工美、体育和娱乐用品制造业
000019,深粮控股,F51批发业
000020,深华发A,C39计算机、通信和其他电子设备制造业
000021,深科技,C39计算机、通信和其他电子设备制造业
000025,特力A,F51批发业
000026,飞亚达,F52零售业
000027,深圳能源,D44电力、热力生产和供应业
000028,国药一致,F51批发业
000029,深深房A,K70房地产业
000030,富奥股份,C36汽车制造业
000031,大悦城,K70房地产业
000032,深桑达A,E49建筑安装业
000034,神州数码,F51批发业
000035,中国天楹,N77生态保护和环境治理业
000036,华联控股,K70房地产业
000037,深南电A,D44电力、热力生产和供应业
000039,中集集团,C33金属制品业
000042,中洲控股,K70房地产业
000044,上证中盘,未映射
000045,上证小盘,C39计算机、通信和其他电子设备制造业
000046,上证中小,未映射
000047,上证全指,未映射
000048,京基智农,A03畜牧业
000049,上证民企,C38电气机械和器材制造业
000050,50等权,C39计算机、通信和其他电子设备制造业
000051,180等权,未映射
000052,50基本,未映射
000053,180基本,未映射
000054,上证海外,未映射
000055,方大集团,C33金属制品业
000056,上证国企,L72商务服务业
000057,全指成长,未映射
000058,全指价值,L72商务服务业
000059,全R成长,C25石油、煤炭及其他燃料加工业
000060,全R价值,C32有色金属冶炼和压延加工业
000061,农产品,L72商务服务业
000062,上证沪企,F51批发业
000063,上证周期,C39计算机、通信和其他电子设备制造业
000064,非周期,未映射
000065,上证龙头,F51批发业
000066,上证商品,C39计算机、通信和其他电子设备制造业
000067,上证新兴,未映射
000068,上证资源,F51批发业
000069,消费80,K70房地产业
000070,能源等权,C39计算机、通信和其他电子设备制造业
000071,材料等权,未映射
000072,工业等权,未映射
000073,可选等权,未映射
000074,消费等权,未映射
000075,医药等权,未映射
000076,金融等权,未映射
000077,信息等权,未映射
000078,电信等权,F51批发业
000079,公用等权,未映射
000088,盐田港,G55水上运输业
000089,深圳机场,G56航空运输业
000090,上证流通,E48土木工程建筑业
000091,沪财中小,未映射
000092,资源50,未映射
000093,180分层,未映射
000094,上证上游,未映射
000095,上证中游,未映射
000096,上证下游,F51批发业
000097,高端装备,未映射
000098,上证F200,未映射
000099,上证F300,G56航空运输业
000100,上证F500,C39计算机、通信和其他电子设备制造业
000102,沪投资品,未映射
000103,沪消费品,未映射
000104,380能源,未映射
000105,380材料,未映射
000106,380工业,未映射
000107,380可选,未映射
000108,380消费,未映射
000109,380医药,未映射
000110,380金融,未映射
000111,380信息,未映射
000112,380电信,未映射
000113,380公用,未映射
000114,持续产业,未映射
000115,380等权,未映射
000117,380成长,未映射
000118,380价值,未映射
000119,380R成长,未映射
000120,380R价值,未映射
000121,医药主题,未映射
000126,消费50,未映射
000128,380基本,未映射
000129,180波动,未映射
000130,380波动,未映射
000131,上证高新,未映射
000132,上证100,未映射
000133,上证150,未映射
000151,中成股份,F51批发业
000153,丰原药业,C27医药制造业
000155,川能动力,D44电力、热力生产和供应业
000156,华数传媒,I63电信、广播电视和卫星传输服务
000157,中联重科,C35专用设备制造业
000158,常山北明,I65软件和信息技术服务业
000159,国际实业,F51批发业
000166,申万宏源,J67资本市场服务
000301,东方盛虹,C26化学原料和化学制品制造业
000333,美的集团,C38电气机械和器材制造业
000338,潍柴动力,C36汽车制造业
000400,许继电气,C38电气机械和器材制造业
000401,金隅冀东,C30非金属矿物制品业
000402,金融街,K70房地产业
000403,派林生物,C27医药制造业
000404,长虹华意,C34通用设备制造业
000407,胜利股份,D45燃气生产和供应业
000408,藏格矿业,C26化学原料和化学制品制造业
000409,云鼎科技,I65软件和信息技术服务业
