日期,主风格,副风格,置信度,持续天数,高低切状态,成长指数,低位指数,轮动指数,资金集中度,热点数量,热点持续性,预测风格,科技继续概率,高低切概率,传统低位概率,其它概率,次日验证结果,预测是否正确,最近30天预测正确率,第一主线,第一主线强度,市场温度,市场节奏,建议仓位,交易价值评分,市场风险评分
2026-07-02,风格混乱,科技成长,38.24,1,快速轮动,20.0,20.0,41.16,100.0,0,0.0,高低切,32.45,42.15,24.79,0.61,今日风格=风格混乱,是,100.0,化工,100.0,2.6,冰点期,20,★★☆☆☆,47.81
2026-07-03,风格混乱,快速轮动,43.08,1,快速轮动,20.0,20.0,43.07,100.0,0,0.0,高低切,39.37,41.13,19.0,0.49,今日风格=风格混乱,是,100.0,半导体设备,100.0,43.86,分歧期,60,★★★☆☆,10.9
2026-07-06,风格混乱,科技成长,38.4,1,快速轮动,20.0,20.0,38.96,100.0,0,0.0,高低切,32.24,42.21,25.54,0.0,今日风格=风格混乱,是,100.0,半导体设备,100.0,0.0,冰点期,20,★★☆☆☆,41.09
2026-07-08,风格混乱,传统低位,45.27,1,快速轮动,20.0,20.0,14.35,100.0,0,0.0,科技继续,35.7,35.5,28.8,0.0,今日风格=科技成长,是,100.0,半导体设备,100.0,0.0,冰点期,20,★★☆☆☆,53.66
2026-07-10,科技成长,快速轮动,52.89,1,主线延续,20.0,20.0,33.85,100.0,0,0.0,科技继续,52.89,26.95,17.38,2.79,今日风格=风格混乱,否,80.0,半导体设备,100.0,69.47,分歧期,90,★★★★☆,9.98
2026-07-14,风格混乱,快速轮动,46.0,1,快速轮动,20.0,20.0,47.59,100.0,0,0.0,高低切,25.0,75.0,0.0,0.0,今日风格=快速轮动,是,83.33,半导体设备,100.0,43.14,分歧期,60,★★★☆☆,9.25
2026-07-15,快速轮动,科技成长,49.89,2,快速轮动,20.0,20.0,60.23,100.0,0,0.0,高低切,25.0,75.0,0.0,0.0,今日风格=快速轮动,是,85.71,创新药,100.0,18.69,冰点期,30,★★☆☆☆,36.7
2026-07-16,快速轮动,科技成长,49.89,3,快速轮动,20.0,20.0,64.23,100.0,0,0.0,高低切,20.0,80.0,0.0,0.0,今日风格=快速轮动,是,87.5,半导体设备,100.0,0.18,冰点期,20,★★☆☆☆,54.37
2026-07-17,快速轮动,传统低位,65.05,4,快速轮动,20.0,20.0,81.0,0.0,0,0.0,高低切,16.67,83.33,0.0,0.0,今日风格=快速轮动,是,88.89,半导体设备,88.68,0.0,冰点期,10,★★☆☆☆,71.24
2026-07-20,快速轮动,科技成长,59.8,5,快速轮动,20.0,20.0,77.13,100.0,0,11.11,高低切,14.29,85.71,0.0,0.0,今日风格=科技成长,否,80.0,半导体设备,100.0,0.0,冰点期,20,★★☆☆☆,52.46
2026-07-21,科技成长,快速轮动,52.39,1,主线延续,20.0,20.0,35.87,100.0,1,20.0,科技继续,52.39,30.08,15.09,2.43,今日风格=快速轮动,否,72.73,半导体设备,100.0,41.85,分歧期,70,★★★☆☆,19.42
2026-07-22,快速轮动,科技成长,53.43,1,快速轮动,20.0,20.0,73.0,100.0,0,20.0,高低切,22.22,77.78,0.0,0.0,,,72.73,半导体设备,100.0,33.45,分歧期,60,★★★☆☆,22.69
