period_type,period_start,period_end,sample_scope,sample_count,excluded_sample_count,quality_status,win_rate_next_day,avg_next_day_return,win_rate_3d,avg_3d_return,win_rate_5d,avg_5d_return,max_drawdown_5d,best_factor,best_factor_corr_5d
monthly,2026-06-01,2026-06-30,top3,15,3,有效,0.6,0.015928,0.533333,0.006939,0.466667,-0.027542,-0.245912,ma_score,0.48074
monthly,2026-07-01,2026-07-31,top3,60,0,有效,0.25,-0.02606,0.216667,-0.064596,0.233333,-0.084785,-0.343847,volume_score,0.117049
monthly,2026-08-01,2026-08-31,top3,45,0,有效,0.285714,-0.028991,0.179487,-0.049933,0.151515,-0.068691,-0.22157,risk_score,0.112686
weekly,2026-06-01,2026-06-05,top3,0,3,样本不足/异常值待确认,,,,,,,,样本不足,
weekly,2026-06-22,2026-06-26,top3,9,0,有效,0.666667,0.029235,0.777778,0.056336,0.777778,0.058661,-0.159005,sector_heat_bonus,0.338929
weekly,2026-06-29,2026-07-03,top3,15,0,有效,0.333333,-0.021315,0.066667,-0.102726,0.066667,-0.143884,-0.245912,sector_heat_bonus,0.377282
weekly,2026-07-06,2026-07-10,top3,9,0,有效,0.333333,-0.012655,0.444444,-0.00116,0.333333,-0.059333,-0.273484,volume_score,0.449876
weekly,2026-07-13,2026-07-17,top3,12,0,有效,0.083333,-0.050656,0.333333,-0.043438,0.5,-0.010547,-0.343847,market_cap_score,0.203769
weekly,2026-07-20,2026-07-24,top3,15,0,有效,0.266667,-0.009327,0.2,-0.055151,0.2,-0.11005,-0.279988,risk_score,0.398898
weekly,2026-07-27,2026-07-31,top3,15,0,有效,0.333333,-0.027094,0.133333,-0.091926,0.066667,-0.103906,-0.23859,breakout_score,0.425849
weekly,2026-08-03,2026-08-07,top3,15,0,有效,0.4,-0.008455,0.266667,-0.022087,0.2,-0.038588,-0.12987,risk_score,0.113612
weekly,2026-08-10,2026-08-14,top3,12,0,有效,0.416667,-0.028672,0.166667,-0.063474,0.166667,-0.074348,-0.22157,market_cap_score,0.486048
weekly,2026-08-17,2026-08-21,top3,15,0,有效,0.066667,-0.049781,0.083333,-0.0712,0.0,-0.132637,-0.189415,breakout_score,0.931587
weekly,2026-08-24,2026-08-28,top3,3,0,有效,,,,,,,,样本不足,
