code,tradeStatus,code_name
sh.600000,1,浦发银行
sh.600004,1,白云机场
sh.600006,1,东风股份
sh.600007,1,中国国贸
sh.600008,1,首创环保
sh.600009,1,上海机场
sh.600010,1,包钢股份
sh.600011,1,华能国际
sh.600012,1,皖通高速
sh.600015,1,华夏银行
sh.600016,1,民生银行
sh.600017,1,日照港
sh.600018,1,上港集团
sh.600019,1,宝钢股份
sh.600020,1,中原高速
sh.600021,1,上海电力
sh.600022,1,山东钢铁
sh.600023,1,浙能电力
sh.600025,1,华能水电
sh.600026,1,中远海能
sh.600027,1,华电国际
sh.600028,1,中国石化
sh.600029,1,南方航空
sh.600030,1,中信证券
sh.600031,1,三一重工
sh.600032,1,浙江新能
sh.600033,1,福建高速
sh.600035,1,楚天高速
sh.600036,1,招商银行
sh.600037,1,歌华有线
sh.600038,1,中直股份
sh.600039,1,四川路桥
sh.600048,1,保利发展
sh.600050,1,中国联通
sh.600051,1,宁波联合
sh.600052,1,东望时代
sh.600053,1,*ST九鼎
sh.600054,1,黄山旅游
sh.600055,1,万东医疗
sh.600056,1,中国医药
sh.600057,1,厦门象屿
sh.600058,1,五矿发展
sh.600059,1,古越龙山
sh.600060,1,海信视像
sh.600061,1,国投资本
sh.600062,1,华润双鹤
sh.600063,1,皖维高新
sh.600064,1,南京高科
sh.600066,1,宇通客车
sh.600067,1,冠城新材
sh.600071,1,凤凰光学
sh.600072,1,中船科技
sh.600073,1,光明肉业
sh.600075,1,新疆天业
sh.600076,1,康欣新材
sh.600078,1,澄星股份
sh.600079,1,ST人福
sh.600080,1,ST金花
sh.600081,1,东风科技
sh.600082,1,ST海泰
sh.600084,1,*ST尼雅
sh.600085,1,同仁堂
sh.600088,1,中视传媒
sh.600089,1,特变电工
sh.600094,1,大名城
sh.600095,1,湘财股份
sh.600096,1,云天化
sh.600097,1,开创国际
sh.600098,1,广州发展
sh.600099,1,林海股份
sh.600100,1,同方股份
sh.600101,1,明星电力
sh.600103,1,青山纸业
sh.600104,1,上汽集团
sh.600105,1,永鼎股份
sh.600106,1,重庆路桥
sh.600107,1,*ST尔雅
sh.600108,1,亚盛集团
sh.600109,1,国金证券
sh.600110,1,诺德股份
sh.600111,1,北方稀土
sh.600113,1,浙江东日
sh.600114,1,东睦股份
sh.600115,1,中国东航
sh.600116,1,三峡水利
sh.600117,1,西宁特钢
sh.600118,1,中国卫星
sh.600119,1,*ST长投
sh.600120,1,浙江东方
sh.600121,1,郑州煤电
sh.600123,1,兰花科创
sh.600125,1,铁龙物流
sh.600126,1,杭钢股份
sh.600127,1,金健米业
sh.600128,1,苏豪弘业
sh.600129,1,太极集团
sh.600130,1,波导股份
sh.600131,1,国网信通
sh.600132,1,重庆啤酒
sh.600133,1,东湖高新
sh.600135,1,乐凯胶片
sh.600136,1,ST明诚
sh.600137,1,浪莎股份
sh.600138,1,中青旅
sh.600141,1,兴发集团
sh.600143,1,金发科技
sh.600148,1,长春一东
sh.600149,1,廊坊发展
sh.600150,1,中国船舶
sh.600151,1,航天机电
sh.600152,1,维科技术
sh.600153,1,建发股份
sh.600155,1,华创云信
sh.600156,1,华升股份
sh.600157,1,永泰能源
sh.600158,1,中体产业
sh.600159,1,大龙地产
sh.600160,1,巨化股份
sh.600161,1,天坛生物
sh.600162,1,香江控股
sh.600163,1,中闽能源
sh.600165,1,ST宁科
sh.600166,1,福田汽车
sh.600167,1,联美控股
sh.600168,1,武汉控股
sh.600169,1,ST太重
sh.600170,1,上海建工
sh.600171,1,上海贝岭
sh.600172,1,黄河旋风
sh.600173,1,卧龙新能
sh.600176,1,中国巨石
sh.600177,1,雅戈尔
sh.600178,1,东安动力
sh.600179,1,安通控股
sh.600180,1,*ST瑞茂
sh.600182,1,S佳通
sh.600183,1,生益科技
sh.600184,1,光电股份
sh.600185,1,珠免集团
sh.600186,1,莲花控股
sh.600187,1,*ST国中
sh.600188,1,兖矿能源
sh.600189,1,泉阳泉
sh.600191,1,华资实业
sh.600192,1,长城电工
sh.600193,1,退市创兴
sh.600195,1,中牧股份
sh.600196,1,复星医药
sh.600197,1,伊力特
sh.600198,1,大唐电信
sh.600199,1,金种子酒
sh.600201,1,生物股份
sh.600202,1,哈空调
sh.600203,1,福日电子
sh.600206,1,有研新材
sh.600207,1,安彩高科
sh.600208,1,衢州发展
sh.600210,1,紫江企业
sh.600211,1,西藏药业
sh.600212,1,绿能慧充
sh.600215,1,派斯林
sh.600216,1,浙江医药
sh.600217,1,中再资环
sh.600218,1,全柴动力
sh.600219,1,南山铝业
sh.600221,1,海航控股
sh.600222,1,太龙药业
sh.600223,1,福瑞达
sh.600226,1,亨通股份
sh.600227,1,赤天化
sh.600228,0,返利科技
sh.600229,1,城市传媒
sh.600230,1,沧州大化
sh.600231,1,凌钢股份
sh.600232,1,金鹰股份
sh.600233,1,圆通速递
sh.600234,1,科新发展
sh.600235,1,民丰特纸
sh.600236,1,桂冠电力
sh.600237,1,铜峰电子
sh.600238,1,*ST椰岛
sh.600239,1,ST云城
sh.600241,1,时代万恒
sh.600243,1,*ST海华
sh.600246,1,万通发展
sh.600248,1,陕建股份
sh.600249,1,两面针
sh.600250,1,南京商旅
sh.600251,1,冠农股份
sh.600252,1,中恒集团
sh.600255,1,鑫科材料
sh.600256,1,广汇能源
sh.600257,1,大湖股份
sh.600258,1,首旅酒店
sh.600259,1,中稀有色
sh.600261,1,阳光照明
sh.600262,1,北方股份
sh.600265,1,*ST景谷
sh.600266,1,城建发展
sh.600267,1,海正药业
sh.600268,1,国电南自
sh.600269,1,赣粤高速
sh.600271,1,航天信息
sh.600272,1,开开实业
sh.600273,1,嘉化能源
sh.600276,1,恒瑞医药
sh.600278,1,东方创业
sh.600279,1,重庆港
sh.600280,1,中央商场
sh.600281,1,华阳新材
sh.600282,1,南钢股份
sh.600283,1,钱江水利
sh.600284,1,浦东建设
sh.600285,1,羚锐制药
sh.600287,1,苏豪时尚
sh.600288,1,大恒科技
sh.600289,1,ST信通
sh.600292,1,电投水电
sh.600293,1,三峡新材
sh.600295,1,鄂尔多斯
sh.600298,1,安琪酵母
sh.600299,1,安迪苏
sh.600300,1,维维股份
sh.600301,1,华锡有色
sh.600302,1,ST标准
sh.600303,1,曙光股份
sh.600305,1,恒顺醋业
sh.600307,1,酒钢宏兴
sh.600308,1,华泰股份
sh.600309,1,万华化学
sh.600310,1,广西能源
sh.600312,1,平高电气
sh.600313,1,农发种业
sh.600315,1,上海家化
sh.600316,1,洪都航空
sh.600318,1,新力金融
sh.600319,1,亚星化学
sh.600320,1,振华重工
sh.600322,1,津投城开
sh.600323,1,瀚蓝环境
sh.600325,1,华发股份
sh.600326,1,西藏天路
sh.600327,1,大东方
sh.600328,1,中盐化工
sh.600329,1,达仁堂
sh.600330,1,天通股份
sh.600331,1,宏达股份
sh.600332,1,白云山
sh.600333,1,长春燃气
sh.600335,1,国机汽车
sh.600336,1,澳柯玛
sh.600337,1,ST美克
sh.600338,1,西藏珠峰
sh.600339,1,中油工程
sh.600340,1,*ST华幸
sh.600343,1,航天动力
sh.600345,1,长江通信
sh.600346,1,恒力石化
sh.600348,1,华阳股份
