rank,code,name,sector,sector_type,sector_rank,sector_heat_score,sector_is_mainline,score,score_breakdown,trend_score,fund_score,volume_score,strength_score,risk_penalty,ma20_score,ma_score,breakout_score,risk_score,market_cap_score,sector_heat_bonus,close,ma5,ma10,ma20,volume_ratio,turnover_rate,amount,breakout_margin,sector_pct_change,sector_main_net_inflow,main_net_inflow,main_net_inflow_5d,circulating_market_cap,buy_range,stop_loss,first_target,reasons,risks,action
1,000725,京东方A,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,74.8,"{'MA20评分': 27.6, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 7.8, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 14.2, '风险扣分': -7.6}",52.58,14.21,7.01,7.81,7.64,27.58,25.0,7.81,-7.64,10.0,5.0,7.52,6.968,6.497,6.18,1.153,10.451,27560399328.8,0.0474,0.0,0.0,0.0,0.0,265960848431.99997,7.41 - 7.63,6.09,8.12,收盘价高于20日均线21.7%；均线多头排列，MA5/MA10距离7.2%，MA10/MA20距离5.1%；成交量为5日均量1.15倍；成交量为10日均量1.19倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣5.4分；波动异常扣0.3分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
2,002046,国机精工,C34通用设备制造业,行业,0,0.0,False,73.0,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 12.1, '突破评分': 8.9, '市值评分': 6.0, '板块热度': 1.2, '资金评分': 15.0, '风险扣分': -10.3}",55.0,15.0,12.09,8.93,10.33,30.0,25.0,8.93,-10.33,6.0,1.25,75.41,68.258,64.551,60.439,2.058,10.091,4071221151.48,0.0781,0.0,0.0,0.0,0.0,39980722980.0,74.28 - 76.54,59.53,81.44,收盘价高于20日均线24.8%；均线多头排列，MA5/MA10距离5.7%，MA10/MA20距离6.8%；成交量为5日均量2.06倍；成交量为10日均量2.15倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C34通用设备制造业热度评分0.00,距离20日均线过远扣7.1分；当日长上影线明显扣0.4分；波动异常扣0.8分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
3,000636,风华高科,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,69.5,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.9, '突破评分': 7.1, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 14.1, '风险扣分': -13.5}",55.0,14.14,5.88,7.13,13.51,30.0,25.0,7.13,-13.51,10.0,5.0,79.62,73.958,70.291,63.983,1.014,12.537,11175159673.0,0.0463,0.0,0.0,0.0,0.0,92121383022.0,78.43 - 80.81,63.02,85.99,收盘价高于20日均线24.4%；均线多头排列，MA5/MA10距离5.2%，MA10/MA20距离9.9%；成交量为5日均量1.01倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣0.6分；距离20日均线过远扣6.9分；连续涨停风险扣2.7分；波动异常扣1.3分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
4,600703,三安光电,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,69.1,"{'MA20评分': 27.8, '均线评分': 25.0, '量能评分': 10.9, '突破评分': 5.2, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 5.8, '风险扣分': -14.9}",52.82,5.85,10.95,5.22,14.9,27.82,25.0,5.22,-14.9,10.0,5.0,21.67,20.028,17.863,17.012,1.893,13.769,15052509291.0,-0.0064,0.0,0.0,0.0,0.0,108112035229.0,21.34 - 22.00,16.76,23.4,收盘价高于20日均线27.4%；均线多头排列，MA5/MA10距离12.1%，MA10/MA20距离5.0%；成交量为5日均量1.89倍；成交量为10日均量1.89倍；OBV趋势向上；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣1.8分；距离20日均线过远扣8.5分；当日放量滞涨扣2.1分；波动异常扣0.5分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
5,001309,德明利,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,69.1,"{'MA20评分': 29.3, '均线评分': 25.0, '量能评分': 7.8, '突破评分': 9.0, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 15.0, '风险扣分': -17.0}",54.33,15.0,7.81,9.0,17.04,29.33,25.0,9.0,-17.04,10.0,5.0,891.0,781.016,716.2,671.737,1.21,12.303,17667610897.2,0.0907,0.0,0.0,0.0,0.0,146939086800.0,877.63 - 904.36,661.66,962.28,收盘价高于20日均线32.6%；均线多头排列，MA5/MA10距离9.0%，MA10/MA20距离6.6%；成交量为5日均量1.21倍；成交量为10日均量1.44倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣2.4分；距离20日均线过远扣10.0分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
6,002859,洁美科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,68.5,"{'MA20评分': 30.0, '均线评分': 24.8, '量能评分': 6.2, '突破评分': 1.3, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -4.8}",54.81,10.0,6.16,1.3,4.77,30.0,24.81,1.3,-4.77,6.0,5.0,97.1,96.34,89.746,85.54,1.103,8.049,3080630601.5099998,-0.0671,0.0,0.0,0.0,0.0,39412831740.0,95.64 - 98.56,84.26,104.87,收盘价高于20日均线13.5%；均线多头排列，MA5/MA10距离7.3%，MA10/MA20距离4.9%；成交量为5日均量1.10倍；成交量为10日均量1.10倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣0.8分；波动异常扣1.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
7,600105,永鼎股份,C38电气机械和器材制造业,行业,0,0.0,False,67.8,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.4, '突破评分': 8.3, '市值评分': 10.0, '板块热度': 3.1, '资金评分': 15.0, '风险扣分': -14.0}",55.0,15.0,5.35,8.32,13.96,30.0,25.0,8.32,-13.96,10.0,3.12,72.96,66.002,60.914,56.202,0.878,9.027,9455293773.0,0.0614,0.0,0.0,0.0,0.0,106667140607.99998,71.87 - 74.05,55.36,78.8,收盘价高于20日均线29.8%；均线多头排列，MA5/MA10距离8.4%，MA10/MA20距离8.4%；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣1.9分；距离20日均线过远扣9.9分；波动异常扣0.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
8,603773,沃格光电,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.8,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.3, '突破评分': 3.7, '市值评分': 6.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -8.2}",55.0,10.0,6.34,3.7,8.19,30.0,25.0,3.7,-8.19,6.0,5.0,171.99,169.646,157.195,141.887,1.123,13.579,5127334205.0,-0.0671,0.0,0.0,0.0,0.0,38642472414.0,169.41 - 174.57,139.76,185.75,收盘价高于20日均线21.2%；均线多头排列，MA5/MA10距离7.9%，MA10/MA20距离10.8%；成交量为5日均量1.12倍；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣5.1分；波动异常扣1.1分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
9,002436,兴森科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,67.4,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.1, '突破评分': 5.1, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -12.8}",55.0,10.0,5.09,5.12,12.81,30.0,25.0,5.12,-12.81,10.0,5.0,53.53,51.524,46.416,42.552,0.749,10.456,8330294679.74,-0.0267,0.0,0.0,0.0,0.0,81254815971.0,52.73 - 54.33,41.91,57.81,收盘价高于20日均线25.8%；均线多头排列，MA5/MA10距离11.0%，MA10/MA20距离9.1%；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,最近10日涨幅过大扣2.7分；距离20日均线过远扣7.7分；波动异常扣0.4分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
10,600522,中天科技,C38电气机械和器材制造业,行业,0,0.0,False,66.2,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 6.0, '突破评分': 8.0, '市值评分': 10.0, '板块热度': 3.1, '资金评分': 14.6, '风险扣分': -16.0}",55.0,14.6,6.04,8.04,15.97,30.0,25.0,8.04,-15.97,10.0,3.12,68.1,61.584,56.62,51.126,1.042,9.261,20865549415.0,0.0535,0.0,0.0,0.0,0.0,232421874570.0,67.08 - 69.12,50.36,73.55,收盘价高于20日均线33.2%；均线多头排列，MA5/MA10距离8.8%，MA10/MA20距离10.7%；成交量为5日均量1.04倍；成交量为10日均量1.00倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；OBV趋势向上；OBV接近或创阶段新高；行业C38电气机械和器材制造业热度评分0.00,最近10日涨幅过大扣1.1分；距离20日均线过远扣10.0分；连续涨停风险扣2.7分；波动异常扣0.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
11,600531,豫光金铅,C32有色金属冶炼和压延加工业,行业,0,0.0,False,66.2,"{'MA20评分': 26.3, '均线评分': 25.0, '量能评分': 14.7, '突破评分': 7.2, '市值评分': 3.0, '板块热度': 3.8, '资金评分': 15.0, '风险扣分': -13.8}",51.32,15.0,14.73,7.2,13.79,26.32,25.0,7.2,-13.79,3.0,3.75,17.02,15.098,14.129,13.419,2.407,21.473,4411300861.0,0.0718,0.0,0.0,0.0,0.0,20581651154.0,16.76 - 17.28,13.22,18.38,收盘价高于20日均线26.8%；均线多头排列，MA5/MA10距离6.9%，MA10/MA20距离5.3%；成交量为5日均量2.41倍；成交量为10日均量2.90倍；突破近20日高点；接近或突破近60日高点；OBV趋势向上；OBV接近或创阶段新高；行业C32有色金属冶炼和压延加工业热度评分0.00,最近10日涨幅过大扣3.5分；距离20日均线过远扣8.2分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
12,600110,诺德股份,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,64.8,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 7.0, '突破评分': 0.0, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 0.0, '风险扣分': -5.1}",55.0,0.0,6.95,0.0,5.14,30.0,25.0,0.0,-5.14,3.0,5.0,15.77,16.22,15.336,13.568,1.036,15.344,4158628623.0,-0.1439,0.0,0.0,0.0,0.0,27363802793.0,15.53 - 16.01,13.36,17.03,收盘价高于20日均线16.2%；均线多头排列，MA5/MA10距离5.8%，MA10/MA20距离13.0%；成交量为5日均量1.04倍；成交量为10日均量1.30倍；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣2.3分；波动异常扣0.8分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
13,600345,长江通信,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,64.8,"{'MA20评分': 30.0, '均线评分': 25.0, '量能评分': 5.3, '突破评分': 4.5, '市值评分': 3.0, '板块热度': 5.0, '资金评分': 10.0, '风险扣分': -8.0}",55.0,10.0,5.28,4.48,8.01,30.0,25.0,4.48,-8.01,3.0,5.0,72.62,70.56,65.128,59.131,0.886,9.68,1466332823.0,-0.0513,0.0,0.0,0.0,0.0,15363436366.0,71.53 - 73.71,58.24,78.43,收盘价高于20日均线22.8%；均线多头排列，MA5/MA10距离8.3%，MA10/MA20距离10.1%；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣6.0分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
14,000100,TCL科技,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,64.6,"{'MA20评分': 21.8, '均线评分': 17.8, '量能评分': 9.3, '突破评分': 5.7, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 2.4, '风险扣分': -5.0}",39.54,2.44,9.35,5.68,4.96,21.75,17.79,5.68,-4.96,10.0,5.0,5.34,5.006,4.848,4.745,1.461,11.805,11902149516.699999,0.0191,0.0,0.0,0.0,0.0,102165063162.0,5.26 - 5.42,4.67,5.77,收盘价高于20日均线12.5%；均线多头排列，MA5/MA10距离3.3%，MA10/MA20距离2.2%；成交量为5日均量1.46倍；成交量为10日均量1.76倍；突破近20日高点；接近或突破近60日高点；接近或突破近120日高点；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣0.3分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
15,002378,章源钨业,C32有色金属冶炼和压延加工业,行业,0,0.0,False,64.5,"{'MA20评分': 28.7, '均线评分': 23.6, '量能评分': 4.7, '突破评分': 1.8, '市值评分': 6.0, '板块热度': 3.8, '资金评分': 10.0, '风险扣分': -3.9}",52.27,10.0,4.65,1.77,3.94,28.71,23.56,1.77,-3.94,6.0,3.75,38.5,37.922,36.804,33.336,0.814,8.444,3804188587.46,-0.0564,0.0,0.0,0.0,0.0,46012173900.0,37.92 - 39.08,32.84,41.58,收盘价高于20日均线15.5%；均线多头排列，MA5/MA10距离3.0%，MA10/MA20距离10.4%；OBV趋势向上；OBV接近或创阶段新高；行业C32有色金属冶炼和压延加工业热度评分0.00,距离20日均线过远扣1.9分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
16,603019,中科曙光,C39计算机、通信和其他电子设备制造业,行业,0,0.0,False,64.5,"{'MA20评分': 19.5, '均线评分': 17.1, '量能评分': 14.8, '突破评分': 3.9, '市值评分': 10.0, '板块热度': 5.0, '资金评分': 12.5, '风险扣分': -5.7}",36.56,12.46,14.75,3.93,5.74,19.5,17.06,3.93,-5.74,10.0,5.0,97.82,90.302,87.146,85.853,2.571,9.005,12536829543.0,0.0194,0.0,0.0,0.0,0.0,143115971626.0,96.35 - 99.29,84.56,105.65,收盘价高于20日均线13.9%；均线多头排列，MA5/MA10距离3.6%，MA10/MA20距离1.5%；成交量为5日均量2.57倍；成交量为10日均量2.84倍；突破近20日高点；OBV趋势向上；OBV接近或创阶段新高；行业C39计算机、通信和其他电子设备制造业热度评分0.00,距离20日均线过远扣1.1分；连续涨停风险扣2.7分；大盘状态较弱扣2.0分；市场状态为谨慎，建议降低仓位,今日无高确定性机会，建议空仓观察。
