code,name,sector,list_count_5d,continuous_days,latest_rank,latest_score,advice
600330,天通股份,C39计算机、通信和其他电子设备制造业,4,3,5,61.7,优先观察
603936,博敏电子,C39计算机、通信和其他电子设备制造业,4,3,10,58.6,暂不操作
600487,亨通光电,C38电气机械和器材制造业,3,3,12,57.8,谨慎观察
601609,金田股份,C32有色金属冶炼和压延加工业,3,3,13,59.3,暂不操作
603290,斯达半导,C39计算机、通信和其他电子设备制造业,3,3,16,58.6,谨慎观察
603773,沃格光电,C39计算机、通信和其他电子设备制造业,3,2,8,60.4,暂不操作
600737,中粮糖业,C13农副食品加工业,2,2,1,69.2,可低吸观察
002365,永安药业,C27医药制造业,2,2,2,68.3,可低吸观察
001337,四川黄金,B09有色金属矿采选业,2,2,4,61.7,可低吸观察
600216,浙江医药,C27医药制造业,2,2,6,64.5,可低吸观察
603881,数据港,I65软件和信息技术服务业,2,2,7,64.4,可低吸观察
002407,多氟多,C26化学原料和化学制品制造业,2,2,14,52.1,暂不操作
600206,有研新材,C32有色金属冶炼和压延加工业,2,2,15,62.0,可低吸观察
002165,红宝丽,C26化学原料和化学制品制造业,2,2,18,60.2,可低吸观察
002815,崇达技术,C39计算机、通信和其他电子设备制造业,2,1,4,61.1,暂不操作
600367,红星发展,C26化学原料和化学制品制造业,2,1,8,59.8,谨慎观察
603580,艾艾精工,C29橡胶和塑料制品业,2,1,10,59.6,暂不操作
600613,神奇制药,C27医药制造业,2,1,14,59.1,暂不操作
000620,盈新发展,K70房地产业,2,1,15,57.2,谨慎观察
603002,宏昌电子,C39计算机、通信和其他电子设备制造业,2,1,17,61.3,暂不操作
600988,赤峰黄金,B09有色金属矿采选业,1,1,1,69.9,暂不操作
605358,立昂微,C39计算机、通信和其他电子设备制造业,1,1,1,67.6,暂不操作
002017,东信和平,C39计算机、通信和其他电子设备制造业,1,1,1,65.3,暂不操作
002741,光华科技,C39计算机、通信和其他电子设备制造业,1,1,2,67.3,暂不操作
601212,白银有色,C32有色金属冶炼和压延加工业,1,1,2,64.7,暂不操作
600707,彩虹股份,C39计算机、通信和其他电子设备制造业,1,1,3,66.4,暂不操作
603626,科森科技,C33金属制品业,1,1,3,63.6,暂不操作
002637,赞宇科技,C26化学原料和化学制品制造业,1,1,4,65.0,暂不操作
600313,农发种业,F51批发业,1,1,4,61.4,暂不操作
600645,中源协和,C27医药制造业,1,1,5,64.2,暂不操作
603061,金海通,C35专用设备制造业,1,1,5,61.0,暂不操作
002907,华森制药,C27医药制造业,1,1,5,60.2,暂不操作
000837,秦川机床,C34通用设备制造业,1,1,6,63.3,暂不操作
002274,华昌化工,C26化学原料和化学制品制造业,1,1,6,61.5,暂不操作
002716,湖南白银,C32有色金属冶炼和压延加工业,1,1,6,60.8,暂不操作
002436,兴森科技,C39计算机、通信和其他电子设备制造业,1,1,7,63.1,暂不操作
001277,速达股份,C43金属制品、机械和设备修理业,1,1,7,60.7,暂不操作
002792,通宇通讯,C39计算机、通信和其他电子设备制造业,1,1,8,63.0,暂不操作
002202,金风科技,C34通用设备制造业,1,1,8,57.3,暂不操作
603113,金能科技,C26化学原料和化学制品制造业,1,1,9,64.3,暂不操作
002655,共达电声,C39计算机、通信和其他电子设备制造业,1,1,9,59.0,暂不操作
600371,万向德农,A05农、林、牧、渔专业及辅助性活动,1,1,9,56.1,暂不操作
603395,红四方,C26化学原料和化学制品制造业,1,1,10,63.8,暂不操作
000716,黑芝麻,C14食品制造业,1,1,10,62.4,暂不操作
600353,旭光电子,C39计算机、通信和其他电子设备制造业,1,1,11,59.6,暂不操作
600127,金健米业,C13农副食品加工业,1,1,11,58.0,暂不操作
000153,丰原药业,C27医药制造业,1,1,11,55.0,暂不操作
002081,金螳螂,E50建筑装饰、装修和其他建筑业,1,1,12,61.5,暂不操作
002141,贤丰控股,C38电气机械和器材制造业,1,1,13,61.1,暂不操作
600110,诺德股份,C39计算机、通信和其他电子设备制造业,1,1,13,57.7,暂不操作
001400,江顺科技,C35专用设备制造业,1,1,13,53.2,暂不操作
603083,剑桥科技,C39计算机、通信和其他电子设备制造业,1,1,14,62.1,暂不操作
600610,中毅达,C26化学原料和化学制品制造业,1,1,14,57.6,暂不操作
002031,巨轮智能,C35专用设备制造业,1,1,15,61.0,暂不操作
603036,如通股份,C35专用设备制造业,1,1,15,58.9,暂不操作
000523,红棉股份,C13农副食品加工业,1,1,16,61.6,暂不操作
002578,闽发铝业,C32有色金属冶炼和压延加工业,1,1,16,60.8,暂不操作
000505,京粮控股,C13农副食品加工业,1,1,16,56.7,暂不操作
600598,北大荒,A01农业,1,1,16,51.3,暂不操作
600186,莲花控股,C14食品制造业,1,1,17,58.5,暂不操作
600722,金牛化工,C26化学原料和化学制品制造业,1,1,17,56.7,暂不操作
600869,远东股份,C38电气机械和器材制造业,1,1,18,57.6,暂不操作
002041,登海种业,A05农、林、牧、渔专业及辅助性活动,1,1,18,56.6,暂不操作
603629,利通电子,C33金属制品业,1,1,18,51.0,暂不操作
